Date : 2024-08-02 16:26:04
Directory : c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters
Total : 68 files,  11078 codes, 868 comments, 1720 blanks, all 13666 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Luau     |         61 |     11,003 |        865 |      1,708 |     13,576 |
| JSON     |          2 |         51 |          0 |          8 |         59 |
| TOML     |          4 |         19 |          3 |          2 |         24 |
| Markdown |          1 |          5 |          0 |          2 |          7 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |         68 |     11,078 |        868 |      1,720 |     13,666 |
| . (Files)                                                                                                                                                |          6 |         68 |          3 |         12 |         83 |
| Packages                                                                                                                                                 |         45 |      5,659 |        557 |      1,204 |      7,420 |
| Packages (Files)                                                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| Packages\_Index                                                                                                                                          |         44 |      5,658 |        557 |      1,203 |      7,418 |
| Packages\_Index\rakkenti_rbxlib@0.1.42                                                                                                                   |         44 |      5,658 |        557 |      1,203 |      7,418 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib                                                                                                            |         44 |      5,658 |        557 |      1,203 |      7,418 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib (Files)                                                                                                    |          5 |        166 |         67 |         45 |        278 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Data                                                                                                       |          3 |      2,241 |        228 |        378 |      2,847 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Dependencies                                                                                               |          3 |        314 |         36 |         90 |        440 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Dependencies\CameraShaker                                                                                  |          3 |        314 |         36 |         90 |        440 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Satellite                                                                                                  |          3 |        175 |         17 |         65 |        257 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui                                                                                                   |          6 |      1,390 |        101 |        310 |      1,801 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui (Files)                                                                                           |          2 |      1,183 |        101 |        246 |      1,530 |
| Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\Components                                                                                        |          1 |          0 |          0 |          1 |          1 |
